"gid","lbl.x","val.x","lbl.y","val.y","건축면적","건축물높이","건축물수","건축물연면적","건폐율","고등학생인구수","고령인구수","공동건축물수","생산가능인구수","용적율","유소년인구수","유아인구수","중학생인구수","초등학생인구수","총인구수","연령20대수","연령30대수","연령40대수","연령50대수","연령60대수","연령70대수","연령80대수","연령90대수","연령100대이상수","공시지가","노후건물수20년","노후건물수30년","응급의료시설접근성","보건기관접근성","주차장접근성","토지이용복합도","토지이용압축도","화재발생수","화재재산피해합계","화재재산피해평균","화재인명피해합계","화재인명피해평균","화재진압시간합계","화재진압시간평균","구조발생수","구조대상자수합계","구조대상자수평균","구조사망합계","구조사망평균","구조안전구조합계","구조안전구조평균","구조경상합계","구조경상평균","구조중상합계","구조중상평균","구조행방불명합계구조","구조행방불명평균","구급발생수","전체발생수","화재발생정규화","구조발생정규화","구급발생정규화","전체발생정규화","소요시간","정규화시간","전체시간가중"
"라라69a93a","7.95",7.95,"7.95",7.95,1114.92,7.95,22,1493.92,3.39,0,0,0,0,3.39,0,0,0,0,7,0,0,0,0,0,0,0,0,0,68397.17,6,4,12.74,1.92,5.314,5,18.52,1,330,330,0,0,1191,1191,8,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.2482740929684,0.032258064516129,0.00448179271708683,0.00512820512820513,0.041868062361421,16.0001154288938,1.31471268567713,1.36975715838841
"라라39a93a","3.67",3.67,"3.67",3.67,72.76,3.67,13,72.76,24.47,0,6,0,9,24.47,0,0,0,0,15,0,0,0,0,6,0,0,0,0,8454.47,12,9,20.743,3.439,5.084,3,0.38,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,-0.269136557572064,0,0.00280112044817927,0.0358974358974359,0.0386985563456152,9.01074599633342,1.17383790719862,1.21926373959096
"라라51b90a","7.14",7.14,"7.14",7.14,91.01,7.14,41,135.5,21.75,0,26,0,51,31.43,10,0,0,0,87,0,0,9,18,18,14,0,0,0,53055.77,14,9,3.172,2.457,1.618,5,2.06,2,14778,7389,0,0,15488,7744,20,0,0,0,0,0,0,0,0,0,0,0,0,7,0.778544192200206,0.0645161290322581,0.0112044817927171,0.0358974358974359,0.111618046722411,5.28556109752649,1.09875465362696,1.22139550189196
"라라56a95b","7.80",7.8,"7.80",7.8,57.18,7.8,3,65.94,21.24,0,0,0,0,28.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22065.67,2,2,11.667,3.974,7.513,1,0.08,2,392,196,1,0.5,660,330,3,2,0.666666667,0,0,2,0.666666667,0,0,0,0,0,0,0,0.014797687643346,0.0645161290322581,0.00168067226890756,0,0.0661968013011656,12.8426212209201,1.25107156591841,1.33388850178105
"라라38b91b","3.40",3.4,"3.40",3.4,86.25,3.4,2,86.25,30.64,0,0,0,0,30.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6310.21,1,1,22.56,3.231,7.04,2,0.07,1,4959,4959,0,0,3671,3671,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.426220203490998,0.032258064516129,0.000560224089635854,0,0.0328182886057649,9.48291216004393,1.18335468898553,1.22219036469164
"라라52a92b","8.76",8.76,"8.76",8.76,140.28,8.76,19,145.18,18.85,0,13,0,9,21.66,0,0,0,0,23,0,0,0,0,0,0,7,0,0,19393.18,14,13,6.418,5.293,5.005,4,1.1,0,0,0,0,0,0,0,22,5,0.227272727,0,0,1,0.045454545,4,0.181818182,0,0,0,0,3,-0.303282496238715,0,0.0123249299719888,0.0153846153846154,0.0277095453566042,8.11682630521008,1.15582043943136,1.18784769832188
"라라52a96b","4.20",4.2,"4.20",4.2,292.7,4.2,2,292.7,29.59,0,0,0,0,29.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7647.16,0,0,11.71,0.823,8.399,1,0.23,0,0,0,0,0,0,0,3,1,0.333333333,0,0,1,0.333333333,0,0,0,0,0,0,0,-0.807003560987677,0,0.00168067226890756,0,0.00168067226890756,15.0744082654847,1.29605452304322,1.29823276593909
"라라39b88b","5.31",5.31,"5.31",5.31,88.64,5.31,31,103.11,23.75,0,23,0,20,27.82,0,0,0,0,43,6,0,0,6,14,9,7,0,0,21217.87,23,10,23.063,1.163,5.663,6,1.28,0,0,0,0,0,0,0,30,1,0.033333333,0,0,0,0,0,0,0,0,0,0,4,-0.110277752306701,0,0.0168067226890756,0.0205128205128205,0.0373195432018961,4.44651887851957,1,1.0373195432019
"라라58b86b","34.84",34.84,"34.84",34.84,794.1,34.84,98,5577.2,61.22,202,245,63,4285,356.13,1433,637,288,691,5963,468,995,1468,793,283,98,31,9,0,2645793.91,0,0,2.681,2.612,0.62,7,218.48,6,27950,4658.333333,0,0,3358,559.6666667,341,55,0.161290323,1,0.002932551,42,0.123167155,7,0.020527859,3,0.008797654,0,0,0,6.74821827728816,0.193548387096774,0.191036414565826,0,0.384584801662601,7.15605214047963,1.13645548112858,1.57351898693679
"라라59b98a","6.70",6.7,"6.70",6.7,161.99,6.7,1,161.99,38.03,0,0,0,0,38.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3322.42,0,0,16.439,2.937,4.699,1,0.06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.83712082780651,0,0.000560224089635854,0,0.000560224089635854,22.9942215543599,1.45568293493742,1.45649844358444
