"gid","건축면적","건축물높이","건축물수","건축물연면적","건폐율","고등학생인구수","고령인구수","공동건축물수","생산가능인구수","용적율","유소년인구수","유아인구수","중학생인구수","초등학생인구수","총인구수","연령20대수","연령30대수","연령40대수","연령50대수","연령60대수","연령70대수","연령80대수","연령90대수","연령100대이상수","공시지가","노후건물수20년","노후건물수30년","응급의료시설접근성","보건기관접근성","주차장접근성","토지이용복합도","토지이용압축도","화재발생수","화재재산피해합계","화재재산피해평균","화재인명피해합계","화재인명피해평균","화재진압시간합계","화재진압시간평균","구조발생수","구조대상자수합계","구조대상자수평균","구조사망합계","구조사망평균","구조안전구조합계","구조안전구조평균","구조경상합계","구조경상평균","구조중상합계","구조중상평균","구조행방불명합계구조","구조행방불명평균"
"라라65b90a",1349.06,12.64,16,2974.1,26.4,0,7,0,13,34.73,0,0,0,0,22,0,0,0,7,0,0,0,0,0,30422.38,12,6,14.44,2.661,3.591,5,19.03,2,233,116.5,1,0.5,1371,685.5,21,2,0.0952380952380952,0,0,1,0.0476190476190476,0,0,1,0.0476190476190476,0,0
"라라59b86b",119.34,7.71,43,179.8,33.88,8,6,0,104,52.95,18,0,9,14,128,20,7,30,30,0,0,0,0,0,311310.85,2,0,3.568,3.047,1.183,6,3.09,2,2781,1390.5,0,0,526,263,36,8,0.222222222222222,0,0,1,0.0277777777777778,6,0.166666666666667,1,0.0277777777777778,0,0
"라라41b92b",149.75,5.46,72,198.87,35.66,0,102,0,67,44.52,8,0,0,0,177,11,7,13,22,33,26,38,17,0,41198.05,51,0,15.466,0.716,0.925,6,5.73,2,29943,14971.5,0,0,1147,573.5,35,4,0.114285714285714,0,0,3,0.0857142857142857,0,0,0,0,0,0
"라라58b85b",44.4,7.7,1,44.4,2.17,0,0,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70744.88,0,0,6.83,2.699,4.381,1,0.02,1,0,0,0,0,1248,1248,5,1,0.2,0,0,1,0.2,0,0,0,0,0,0
"라라60a93b",99.92,6.17,103,114.13,26.07,0,65,0,98,29.64,14,0,0,11,177,12,14,13,40,34,23,21,0,0,72620.31,57,36,10.812,5.426,3.563,5,4.54,5,19121,3824.2,0,0,6556,1311.2,27,1,0.037037037037037,0,0,0,0,0,0,0,0,1,0.037037037037037
"라라67b93a",337.78,0,1,337.78,46.85,0,0,0,0,46.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29579.08,1,0,14.136,3.316,6.711,1,0.14,2,32773,16386.5,0,0,6275,3137.5,4,0,0,0,0,0,0,0,0,0,0,0,0
"라라48b83b",78.34,4.24,11,78.1,33.7,0,0,0,0,32.94,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7568.88,7,6,8.055,3.48,2.37,2,0.3,1,110,110,0,0,2253,2253,9,0,0,0,0,0,0,0,0,0,0,0,0
"라라51a83b",139.11,5.62,15,138.93,23.89,0,0,0,13,23.89,0,0,0,0,19,0,0,0,0,0,0,0,0,0,21767.51,9,7,5.297,6.002,3.388,4,0.83,1,596,596,0,0,442,442,2,0,0,0,0,0,0,0,0,0,0,0,0
"라라52b89b",85.79,8.76,353,185,65.07,29,295,6,625,136.1,66,21,24,37,986,83,84,116,184,201,125,70,11,0,226460.05,297,213,1.696,1.805,0.389,7,26.05,2,4693,2346.5,0,0,867,433.5,280,29,0.103571428571429,4,0.0142857142857143,16,0.0571428571428571,5,0.0178571428571429,2,0.00714285714285714,0,0
"라라42a92a",2017.41,13.15,2,1349.56,8.43,0,0,0,0,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1985.32,0,0,15.673,1.318,1.527,1,1.08,2,3825,1912.5,0,0,734,367,21,2,0.0952380952380952,1,0.0476190476190476,0,0,0,0,0,0,0,0
"라라49a98a",109.13,4.83,29,118.78,28.11,0,17,0,15,28.67,0,0,0,0,32,0,0,0,8,0,11,0,0,0,11768.62,15,9,13.959,1.221,11.387,5,1.36,2,3355,1677.5,0,0,1425,712.5,9,0,0,0,0,0,0,0,0,0,0,0,0
"라라59a87a",454.72,36.55,83,4665.05,48.1,224,545,71,4743,109.28,1285,502,286,675,6573,585,1169,1405,859,581,201,72,14,0,1338847.59,0,0,3.276,2.198,0.775,6,154.81,4,55466,13866.5,2,0.5,2005,501.25,267,67,0.250936329588015,2,0.00749063670411985,30,0.112359550561798,30,0.112359550561798,1,0.00374531835205993,0,0
"라라65a91b",80.56,4.62,67,80.4,22.41,0,38,0,14,21.79,0,0,0,0,53,0,0,0,7,10,15,16,0,0,26830.49,53,44,19.478,0.333,8.629,7,2.15,2,6061,3030.5,0,0,4294,2147,10,1,0.1,1,0.1,0,0,0,0,0,0,0,0
"라라66b91b",77.1,4.48,5,77.1,14.39,0,0,0,0,14.39,0,0,0,0,10,0,0,0,0,0,0,0,0,0,13547.45,2,2,15.922,5.103,6.93,2,0.15,2,12320,6160,0,0,12268,6134,3,0,0,0,0,0,0,0,0,0,0,0,0
