gid,건축면적,건축물높이,건축물수,건축물연면적,건폐율,고등학생인구수,고령인구수,공동건축물수,생산가능인구수,용적율,유소년인구수,유아인구수,중학생인구수,초등학생인구수,총인구수,연령20대수,연령30대수,연령40대수,연령50대수,연령60대수,연령70대수,연령80대수,연령90대수,연령100대이상수,공시지가,노후건물수20년,노후건물수30년,응급의료시설접근성,보건기관접근성,주차장접근성,토지이용복합도,토지이용압축도,화재발생수,화재재산피해합계,화재재산피해평균,화재인명피해합계,화재인명피해평균,화재진압시간합계,화재진압시간평균,구조발생수,구조대상자수합계,구조대상자수평균,구조사망합계,구조사망평균,구조안전구조합계,구조안전구조평균,구조경상합계,구조경상평균,구조중상합계,구조중상평균,구조행방불명합계구조,구조행방불명평균,구급발생수
라라66b85a,222.45,4.86,6,236.6,31.15,0,0,0,0,30.41,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4393.47,5,1,12.139,4.102,4.067,3,0.57,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라59b83b,137.5,5.93,10,156.95,18.28,0,8,0,10,22.03,0,0,0,0,18,0,0,0,0,7,0,0,0,0,22385.56,3,2,6.456,3.22,3.973,3,0.63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라72a83a,88.76,5.9,17,86.06,28.02,0,8,0,0,30.79,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5455.35,14,11,24.927,4.938,7.306,6,0.62,1,18694,18694,0,0,1136,1136,7,0,0,0,0,0,0,0,0,0,0,0,0,2
라라71b82b,481.81,5.37,7,493.38,29.36,0,0,0,0,32.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2096.72,1,0,24.931,4.942,7.311,2,1.38,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
라라64b83b,180,6.83,34,184.63,20.78,0,23,0,24,23.82,0,0,0,0,51,0,6,0,9,10,9,9,0,0,18120.92,20,12,10.845,0.706,0.661,7,2.51,3,31616,10538.66667,0,0,8073,2691,20,2,0.1,0,0,0,0,1,0.05,0,0,1,0.05,4
라라51b91a,111.91,7.38,30,147.11,28.39,0,19,0,21,38.64,0,0,0,0,42,0,0,0,10,15,0,7,0,0,36115.36,16,12,4.827,4.017,3.178,4,1.77,0,0,0,0,0,0,0,13,8,0.615384615,0,0,4,0.307692308,0,0,0,0,0,0,2
라라52b98b,66.66,0,5,66.66,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8425.44,5,5,14.128,2.833,9.104,1,0.13,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
라마58a00b,38,3.67,3,38,15.34,0,0,0,0,15.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815,0,0,18.59,3.922,9.948,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라63a88b,56.42,4.56,6,77.48,21.42,0,0,0,0,29.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992.47,5,0,9.762,4.39,5.32,1,0.19,0,0,0,0,0,0,0,8,3,0.375,0,0,2,0.25,0,0,0,0,0,0,NA
라마58b01a,63.6,4.4,9,63.6,23.74,0,0,0,0,23.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2972.13,4,4,19.132,4.465,7.639,2,0.23,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라55b89a,192.31,11.12,195,924.03,45.26,112,545,26,2515,108.87,287,114,101,141,3347,456,418,425,724,537,211,95,13,0,525644.43,117,41,3.111,2.935,1.29,10,72.07,5,12080,2416,0,0,2381,476.2,222,28,0.126126126,1,0.004504505,21,0.094594595,2,0.009009009,1,0.004504505,2,0.009009009,48
라라49b86a,112.88,8.22,104,357.01,44.94,23,179,1,432,83.66,74,26,20,40,685,67,68,85,102,138,67,43,6,0,187333.3,62,43,3.794,4.729,1.288,8,15.03,5,5240,1048,0,0,5287,1057.4,103,14,0.13592233,0,0,13,0.126213592,0,0,0,0,0,0,9
라라44b94a,105.1,6.05,45,154.06,52.24,0,39,0,42,75.26,0,0,0,0,84,0,7,0,14,27,10,11,0,0,16208.06,42,0,10.701,5.048,5.256,4,2.77,0,0,0,0,0,0,0,21,6,0.285714286,1,0.047619048,0,0,4,0.19047619,1,0.047619048,0,0,8
라라44b96a,195.34,5.25,11,210.39,26.11,0,7,0,7,27.05,0,0,0,0,15,0,0,0,0,0,0,0,0,0,8528.78,5,0,12.685,4.169,6.768,6,0.93,1,5328,5328,0,0,6016,6016,20,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라45a94b,116.64,0,2,116.64,9.15,0,0,0,0,9.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3522.07,0,0,10.873,4.296,6.534,1,0.09,2,993,496.5,0,0,800,400,1,0,0,0,0,0,0,0,0,0,0,0,0,NA
라라54a96b,39.78,3.25,2,39.78,4.13,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2605.95,0,0,11.845,3.733,6.158,1,0.03,0,0,0,0,0,0,0,10,1,0.1,0,0,1,0.1,0,0,0,0,0,0,2
라라52b91a,85.46,6.05,37,115.26,26.41,0,21,0,36,30.36,0,0,0,0,59,6,6,6,9,12,7,9,0,0,61056.19,13,7,5.13,4.319,3.718,5,1.71,1,4515,4515,0,0,1443,1443,20,2,0.1,0,0,0,0,2,0.1,0,0,0,0,1
